# ABIS-Seq immune-cell RNA-seq signature matrix (Table S5, ABIS-Seq sheet).
# Source: Monaco G, Lee B, Xu W, et al. "RNA-Seq Signatures Normalized by mRNA
#   Abundance Allow Absolute Deconvolution of Human Immune Cell Types."
#   Cell Reports 26(6):1627-1640.e7, 2019. doi:10.1016/j.celrep.2019.01.041; PMID:30726743.
# Provenance: PMC6367568 supplementary file mmc6.xlsx (Table S5), sheet 'ABIS-Seq'.
#   Retrieved via Europe PMC supplementaryFiles endpoint:
#   https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6367568/supplementaryFiles
# Licence: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/) - the Cell Reports
#   article is open access: "(c) 2019 The Authors. This is an open access article under
#   the CC BY license (http://creativecommons.org/licenses/by/4.0/)." Attribution: Monaco 2019.
# Dimensions: 1296 genes x 17 immune cell types. Values are mRNA-abundance-normalised TPM.
# Format: tab-separated; first non-comment line = header (gene-symbol col + 17 cell-type cols).
Gene symbol	Monocytes C	NK	T CD8 Memory	T CD4 Naive	T CD8 Naive	B Naive	T CD4 Memory	MAIT	T gd Vd2	Neutrophils LD	T gd non-Vd2	Basophils LD	Monocytes NC+I	B Memory	mDCs	pDCs	Plasmablasts
LPAR1	27.966896613766998	0.46078492571155499	0	0	0	1.3434239940895101	0	0	0	1.4396485686964	0	5.1429246128066597E-2	4.9806549319399496	0.84917420099804297	16.130689889031999	0.96927047765395602	0.982423783508657
LGALS12	34.948667446285903	0.112797192414489	5.7053428022506202E-2	0	4.5691809457012497E-2	1.05452287302754	7.1724596102461305E-2	2.2881663158119299E-2	0	1.72669475775115	5.69434504891006E-2	3.0765904262924701	1.9191230598314299	1.2632705422421899	24.167852646451301	0	1.1158192786208001
FAM198B	171.881333337152	0.216979399720477	0	0	0	4.4898315633679502	1.86833781644312E-3	0	0	0.30333906113526399	0	9.5415730988231504E-3	71.870103579899407	3.7378721649569	90.508837576817001	2.39496811324695	4.0423783382998497
AC011380.8	41.487547332107603	0.52537841619518799	0.58686239728025003	0.49441750538728801	0.58751501744296797	1.8391083168733799	1.29557496055977	2.4284805338739501E-2	0	8.9297320792652304	0.73963440205898301	0.64030446531479701	4.7742718088838698	1.45201946473669	5.2040809830978301	1.0124234332091	2.7814715407835702
RP11-497H16.7	172.551522156651	4.8040771009241796	1.90694307343708	2.4257023610246802	2.8788640951241602	7.7321325765079196	4.4446547397978202	2.1496902723603899	2.7069402095336299	32.954535370867802	2.6371616696057099	3.5013398086466601	30.120768746242799	8.0803548942816406	386.32962997733603	7.2281756125962504	26.006773516339202
RP11-848G14.5	70.847397586319104	2.0060841249314501	0.97122227511080605	1.4230235722734099	1.41306590281623	2.8002268946143301	1.1826341549691399	0.76947709209999704	0.973216353156379	12.326430930848	1.0882978239875301	0.93828300237055795	11.1412632176733	2.5238685923059201	119.558862778359	2.4424699535141601	4.5139580742522796
SLC46A2	170.58843657955401	7.7442700506835105E-2	0	0	0	3.0299138324018702	7.33058735487414E-3	0	3.5103509681722003E-2	0.171771886597435	0	3.7674643786095502E-2	93.689705887103997	2.28826339361312	143.82582486617599	0.16707657499355699	2.3816672076880199
FOLR2	56.850711752948399	0	0	0	0	2.0459504777525002	0	0	0	0.104157799454525	0	0.11681123725940699	16.899401391465599	1.8839518563634601	51.020170203412697	0.43054793342312098	4.9026033541171898
RP11-848G14.2	108.75526640457799	1.39347651927483	0.82216449965668004	0.62402681578322605	1.9282160569503699	4.5387994451342699	2.2388780097268501	1.0009700863194699	0.412576753350619	18.667257225141899	1.2096163040093899	1.4445501605501401	15.9561187316651	3.48457961412567	216.332669218592	4.2169701890983999	6.5330688576626699
VCAN	2325.9987542702402	1.3321231343973301	3.71637784761637E-2	0.34031832182888899	0.204879794857039	59.8123019690101	0.31033521315371598	4.2510161635046203E-3	0.24437281239376901	0.88072727158781705	0.14123092480216701	5.4786324203007002	188.65640061998599	32.917380459974602	1770.6677697441901	0.148260183911231	65.060575378610395
RNASE4	85.403566488048298	8.6782929175582196E-2	0.82416977346449305	8.4381345963195395E-2	0.42167291858959199	1.5242152095758399	1.6472376404551099	0.62055138459053705	0.58462566540205296	0.13946874950381899	0.26367087267314698	0.420928621129252	4.0708947516033902	6.9247086560992397	85.598788144793005	10.8291371573857	47.053639516674998
LRP1	130.35490998474901	0.676435119966455	0.70992137930204102	1.75501753814966	1.02871359504545	4.0066911170883701	1.5128239905338401	1.22346328829677	1.7526005350118199	0.60266089463349404	1.0255220537673999	1.6815976657548499	98.374931908263505	4.45949436881327	204.66222143223001	2.6890178626279901	5.1964625229327499
HOMER3	25.341696044396201	0.34964807764065597	0.19721848624721899	0.291208928946106	0.32128902133602899	0.67676585688148505	0.690854540664529	0.20160064386537899	0.79480707992239996	1.78576820135918	0.18220838437144399	0.235255522377564	5.9048422377303798	4.7892573029267398	12.1268811366281	0.32466055552144202	28.320602800945998
RPH3A	51.151883342174003	1.02520143248643	1.21217474219221	0.75301620269922498	0.74389142751423898	4.8198982090623197	1.4038751841977	0.59925694087862502	0.86557489152520795	3.7170736784379401	0.43844829800824697	0.81486543989975901	37.155471998914699	2.7859696574219699	13.403333722610901	2.35161401032641	3.2520459472758998
CCDC149	18.621911651770301	0.136210564801028	0.11611167249910199	0.19390871223913	0.100540842646734	0.68400942354773098	0.155971445289839	9.2402385333726397E-2	0.18347677730841999	0.79709049558105805	9.8188352874919393E-2	6.9826963706581396E-2	6.1733445077234004	0.325859575685987	13.9366094401664	1.5256676392158901	0.49867480478780102
ARHGEF10L	97.769639908874495	0	0	0	0	2.6254904635434602	8.8733570043746206E-3	0	0	1.19994977585514E-2	0	4.0547067119340301E-2	58.0719493125832	2.3203983431300199	167.33408548791999	2.10508448015892E-2	7.9096726643378501
RP11-356N1.2	40.165709322022401	0.23466411815407101	0.20509862701145201	0.30794526488003299	0.19703582023417901	6.8245339068002098	0.24259061855609601	0.20739242154450299	0.365057716167001	1.1102168765214999	0.10108772578884299	0.30294560159356798	2.95400907349166	3.6506788646391399	38.291933587990997	0.275065526808213	4.12131306238485
TBC1D2	99.767604755499605	5.3123532228327699	4.4640608132734201	4.6444871034890296	2.3834841685800798	4.2142081944234899	8.7982971730067305	2.3947950810854799	4.54130525848388	8.9699861969652304	5.2882105933404802	5.3317039841302902	60.838144484928002	5.7424040322246599	58.242621108203103	4.1122391555362103	7.9118143835470001
FBN2	13.991393113692499	0	0	0	0	0.15242382109501601	3.0716480823409398E-3	0	0	0.22219443936956301	0	0	7.0779824629861396	0.39342291020459103	8.3472361049049102	0.22173799657526699	8.0167130400159395E-2
CD93	209.951747567648	4.1745853095395002	0.39699254488985303	7.5752758941583107E-2	7.8702853923453497E-2	7.0306602850016899	0.83887294653703703	0.30450180054748399	6.4150083571204206E-2	51.1040063526141	1.98778264192688	0.116744327365029	66.990885878024102	4.2700390013579801	237.950591257676	4.7219724317135299	4.0181833374561702
MGST1	133.74856426914801	1.7626679690120499	0.79408782321764004	1.91109231571497	1.4171111086075101	5.73888679984079	1.6820747593672101	1.2348549137395399	1.1943020518838301	0.849678725774203	1.16624292348896	9.0580755325498501	13.977279151041801	4.4055944601813701	190.66341094217401	24.0765204047851	14.040514256484901
RP11-67L14.1	20.581496263315199	0	3.03760554882576E-2	7.8037214893739895E-2	4.1742843084290999E-2	0.39571611504135901	6.3509316998884999E-2	1.00705457248049E-2	7.1583131065937305E-2	0.77395488830203096	3.1441310521113999E-2	0	3.2991363399530198	0.369946771613965	21.6570463377188	1.9992051049767399E-2	6.3289427130361106E-2
SLC2A9	101.14211173267201	2.2072383080968501	1.37882980089157	2.6773820488913	2.7532313365737102	4.4830848416744402	2.4043932554976402	3.06821220752584	1.7846507050867	2.7652131330754801	1.0680018674930101	4.0684443042709999	14.037904968351601	3.0750067092864999	292.08577339174298	65.118891975648097	4.8119671844337697
SIGLEC15	10.464146305396	1.13304875332301	0.62955062339122403	0.98845555056618195	0.88248571270809295	1.01733805614752	1.2947394917277	0.62444774548075799	1.00678584616874	1.0147916693964301	0.68610922546027897	0.91893819065726701	2.1687194991777301	1.3766948436431501	10.417149151834799	1.6499266514770801	2.46895197747051
MYO7A	13.412039739703699	0.33359314824271802	0.22463288521924701	0.51044627528795705	0.37288020356575602	0.56569883665316401	0.758073548804575	0.14539017168979099	0.36120075901092902	0.39646941311265099	0.27716479028909302	0.180203784269929	3.3671869847421299	0.37304083795735699	1.51573785148999	0	1.1970337698004301
CTD-3014M21.1	100.36928234574	4.6449166450142902	3.00841216753164	2.8305766649071402	1.47192558834195	6.2903843368358299	3.1154356449260301	5.0235736043780497	7.0262646794821002	0.31674265168930799	5.6783641604695898	3.3746895216544401	22.6565795645771	4.58990193967945	54.075938836768103	10.0950731085032	38.364437071497903
FCGR1CP	26.126380402833199	0	0	0	0	1.7095528541666201	0	0	0	9.4589335207619207	0	0	4.6992508980599501	0.41150508900985999	13.8424121226994	0	0
CPM	91.583631176515794	5.6791062840309996	2.2288376500378702	6.4592766824106604	2.7209572650882099	16.383175626156699	7.8007410152399599	2.3833513783252802	3.6739348390190698	4.0968007284121004	2.8664749633452802	3.5358122512582102	33.530088067867297	6.5048816911946199	181.61574436972299	7.4954083903335	13.517789019761601
OSCAR	209.60583826481499	1.43563850718081	0.71646354148712399	0.38091580444871997	0.175189739597542	6.2776824308047798	0.52113708481768095	0.52638226673251698	1.1394048989113601	34.722367402064499	1.21972409303544	0.217848070853114	120.351513063854	4.9147912526403603	290.96111701993499	2.2831783456021002	5.9046256256063101
CH17-373J23.1	429.52742034374501	3.8378101475068598	3.73533083417996	5.3935667071727602	4.5716913535162798	14.833596180717	5.9254654083706999	17.047816033189601	16.4324422231327	1.64057965533372	9.4032227507769708	4.1794553401674097	86.305080247411297	7.8751609882754803	302.62487999113301	28.631751918289801	154.45668353204499
